"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: latin1","Param: nbBytes","Param: nbChars"
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileChannel","avgt",1,50,2069.732570,42.732628,"ns/op",,16,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileChannel","avgt",1,50,2195.934307,56.450016,"ns/op",,4096,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileChannel","avgt",1,50,5814.894884,191.177510,"ns/op",,32178,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileChannel","avgt",1,50,67543.131095,1583.043583,"ns/op",,500000,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileChannel","avgt",1,50,645480.180741,18766.072241,"ns/op",,5000000,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileChannelViaRandomFile","avgt",1,50,2856.430934,106.830194,"ns/op",,16,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileChannelViaRandomFile","avgt",1,50,2979.874168,58.835169,"ns/op",,4096,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileChannelViaRandomFile","avgt",1,50,6574.974522,252.803721,"ns/op",,32178,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileChannelViaRandomFile","avgt",1,50,68300.993167,2102.913123,"ns/op",,500000,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileChannelViaRandomFile","avgt",1,50,645417.501763,25889.885211,"ns/op",,5000000,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileInputStream","avgt",1,50,3511.772511,210.822868,"ns/op",,16,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileInputStream","avgt",1,50,3693.882098,261.272107,"ns/op",,4096,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileInputStream","avgt",1,50,7074.563868,504.271434,"ns/op",,32178,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileInputStream","avgt",1,50,64825.587917,2377.675501,"ns/op",,500000,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileInputStream","avgt",1,50,592214.330779,11398.639024,"ns/op",,5000000,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFiles","avgt",1,50,2031.624881,32.009468,"ns/op",,16,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFiles","avgt",1,50,2183.811844,25.498234,"ns/op",,4096,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFiles","avgt",1,50,5740.286822,31.472697,"ns/op",,32178,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFiles","avgt",1,50,67508.265646,1565.802208,"ns/op",,500000,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFiles","avgt",1,50,633014.345581,2910.006444,"ns/op",,5000000,
